cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
50;3;1.1342416632085675;920.1971255617466;87.64712419041406;-26.435794388946302;0.6554375290870667;0.4829375147819519;-2.195406913757324;535.5818815231323;1;3.0899254663024673;1.5135727848602956
51;4;1.1248934599603022;928.1466945848251;99.84466370783358;-32.957099625288166;0.6180000305175781;0.4426875114440918;-2.030263900756836;525.9373683929443;1;1.457889354117974;1.910546452331058
52;4;1.1549182224650625;916.1098212517509;55.95815686437114;-123.19565455617061;0.5835625529289246;0.4225625097751617;-2.045923948287964;532.8641612529755;0;-0.13106741674474504;1.6934963003522725
53;4;1.148917792123744;984.574878498471;75.08044926891621;-95.60620896158937;0.5433125495910645;0.4024375081062317;-2.016027212142944;553.2863519191742;0;-1.8326707907442257;1.9895008747408494
54;4;1.0932039645182963;872.3366933631016;13.723451831978206;-37.98731200502307;0.6439375281333923;0.5030625462532043;-3.721557140350342;500.95092725753784;1;3.643488217995027;0.22220821057467469
55;4;1.1318159722324392;921.1784631715847;75.97130728169228;-46.39025442901396;0.6167500019073486;0.4426875114440918;-2.148426532745361;524.7301526069641;1;1.4300994471472124;1.8138874800897877
56;4;1.1232291487413162;917.5598769580868;60.765141777385516;-58.421761581222974;0.6137500405311584;0.4426875114440918;-2.107140779495239;518.7942135334015;1;1.4071368765973733;1.873067614016312
57;4;1.1219120249785848;924.7527599907241;83.65063588060727;-31.657577964841668;0.6238125562667847;0.452750027179718;-2.095039844512939;522.5968098640442;1;1.8506776996698735;1.8384180234639038
58;4;1.2273893172534518;866.3885303036847;250.8093661333602;-146.14094739692285;0.5735000371932983;0.4426875114440918;-2.386175632476807;560.2180848121643;0;-0.7222615108357027;-0.15721456261586592
59;4;1.1265964695281205;923.4835521332764;90.52574402139547;-23.356117854785822;0.6568750143051147;0.4728750288486481;-2.264453887939453;530.525074005127;1;3.029504374788448;1.6278354863139317
60;4;1.128250832521548;909.0001955743901;55.8157806664475;-51.324041440342135;0.6036875247955322;0.4426875114440918;-2.094327926635742;519.9153728485107;1;1.153050083009072;1.8136179635611744
61;4;1.1169716205861049;910.0312208686405;18.390887389602003;-47.821301323002835;0.6540000438690186;0.4728750288486481;-2.200389623641968;516.738475561142;1;3.148963225207361;1.8635627961470094
62;4;1.2062991861674863;846.6088715951444;147.8489480724491;-161.94746880786013;0.60093754529953;0.4628125131130219;-2.405395030975342;538.7800898551941;1;0.7380473737332428;0.1147746469088566
63;4;1.1273400248160528;928.1501153041952;34.29787608284596;-72.82132891496242;0.6656250357627869;0.4728750288486481;-2.228862762451172;534.6493949890137;1;3.1509523871470795;1.7957210796244623
64;4;1.3782477934719488;710.185598244337;38.42925745787688;-108.19539096259044;0.6238125562667847;0.452750027179718;-2.191135883331299;519.80215883255;1;1.7299442925820068;0.04165800108723657
65;4;1.4164550192498908;685.1026059313059;108.29358074979257;-149.12268023527878;0.593625009059906;0.452750027179718;-2.480136394500732;538.1138644218445;0;0.4720892521537158;-0.9953081776287234
66;4;1.3548871131932236;716.6163310656149;135.2904890105171;-97.40740784618028;0.6338750123977661;0.4728750288486481;-2.063719511032104;528.8266589641571;1;2.159557545286274;-0.287824162131051
67;4;1.34039313050918;742.132903749963;145.8991230211963;-165.8370685544511;0.5540000200271606;0.432625025510788;-1.969046831130981;529.947074174881;0;-0.9784501237509533;-0.29651371708004604
68;4;1.3395176978852033;743.092003050401;153.02820914279263;-68.17151450684078;0.5504375100135803;0.4125000238418579;-2.001079082489014;527.9760546684265;0;-1.0844887322294456;0.16323696240356603
69;4;1.3065583876454236;736.7003766568316;67.75469887243294;-113.17475281169843;0.6330625414848328;0.452750027179718;-2.070837736129761;521.0222537517548;1;1.9733993795450255;0.40684148716462143
70;4;1.3446257317563646;726.6176390966311;170.83828442789394;-172.04606251341104;0.5836875438690186;0.4628125131130219;-2.386175632476807;544.949469089508;0;0.15354064800934195;-1.0151729539208392
71;4;1.304144840121469;725.3101592784972;120.96618311702927;-72.6508925160127;0.6238125562667847;0.4728750288486481;-2.171916723251343;514.4200856685638;1;2.1732617692192306;-0.09116405993783293
72;4;1.3268682410290655;717.3263598011129;20.844362547010206;-182.29542533215655;0.6036875247955322;0.4728750288486481;-2.270860195159912;530.3115096092224;1;1.2411980379607945;-0.3358869538636716
73;4;1.308790853389193;724.293551172801;150.49957055105705;-8.488826890099247;0.6137500405311584;0.4728750288486481;-2.078667879104614;513.9922726154327;1;2.0491806980545495;-0.024551242062230437
74;4;1.3317271047582413;718.2337168669214;297.6344778353229;-102.7716176602363;0.5951250195503235;0.4728750288486481;-2.387599468231201;532.4000506401062;0;0.8220780878649835;-1.3414981873302956
75;4;1.3180093993137736;720.970604828934;123.5470942596004;-126.17803669006211;0.6137500405311584;0.4930000305175781;-2.413224935531616;526.0462815761566;1;1.9168596593482292;-0.8231171677599001
